date,roi,no2_tropos_col_mol_m2,n_valid_days,sensor
2015-02-01,santa_cruz,9.654549558668859e-06,18,OMI
2015-03-01,santa_cruz,7.524595592413136e-06,22,OMI
2015-04-01,santa_cruz,1.1033332492993786e-05,21,OMI
2015-05-01,santa_cruz,,14,OMI
2015-06-01,santa_cruz,9.395006536899825e-06,15,OMI
2015-07-01,santa_cruz,,13,OMI
2015-08-01,santa_cruz,3.1163105423336056e-05,23,OMI
2015-09-01,santa_cruz,3.39473961311792e-05,22,OMI
2015-10-01,santa_cruz,3.086425440807495e-05,17,OMI
2015-11-01,santa_cruz,1.724236507953082e-05,16,OMI
2015-12-01,santa_cruz,1.0310058255818517e-05,20,OMI
2016-01-01,santa_cruz,9.815097261912515e-06,19,OMI
2016-02-01,santa_cruz,8.898084736277704e-06,17,OMI
2016-03-01,santa_cruz,7.957914877443514e-06,19,OMI
2016-04-01,santa_cruz,1.051383543338986e-05,21,OMI
2016-05-01,santa_cruz,,11,OMI
2016-06-01,santa_cruz,,11,OMI
2016-07-01,santa_cruz,1.4556271711503734e-05,18,OMI
2016-08-01,santa_cruz,3.842468081516875e-05,19,OMI
2016-09-01,santa_cruz,4.465650894756425e-05,20,OMI
2016-10-01,santa_cruz,2.0426680135237322e-05,21,OMI
